L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation,rayon
356.9333946518269,356.9333946518269,356.9333946518269,356.9333946518269,78,78,78,78,7,0.0,0
147.85969814092002,147.85969814092002,147.85969814092002,147.85969814092002,51,51,51,51,7,0.0,0
438.85499716139134,438.85499716139134,438.85499716139134,438.85499716139134,82,82,82,82,7,0.0,0
189.56163760715404,189.56163760715404,189.56163760715404,189.56163760715404,54,54,54,54,7,0.0,0
259.52999916997817,259.52999916997817,259.52999916997817,259.52999916997817,59,59,59,59,7,0.0,0
608.5837799650174,608.5837799650174,608.5837799650174,608.5837799650174,121,121,121,121,7,0.0,0
282.0064684575287,282.0064684575287,282.0064684575287,282.0064684575287,86,86,86,86,7,0.0,0
252.3207240175512,252.3207240175512,252.3207240175512,252.3207240175512,53,53,53,53,7,0.0,0
453.78345936828396,453.78345936828396,453.78345936828396,453.78345936828396,56,56,56,56,7,0.0,0
210.56449135089477,210.56449135089477,210.56449135089477,210.56449135089477,48,48,48,48,7,0.0,0
461.1839497777119,461.1839497777119,461.1839497777119,461.1839497777119,39,39,39,39,7,0.0,0
527.8018957212611,527.8018957212611,527.8018957212611,527.8018957212611,59,59,59,59,7,0.0,0
300.79060850005004,300.79060850005004,300.79060850005004,300.79060850005004,81,81,81,81,7,0.0,0
453.6416585085843,453.6416585085843,453.6416585085843,453.6416585085843,45,45,45,45,7,0.0,0
329.7012310814083,329.7012310814083,329.7012310814083,329.7012310814083,70,70,70,70,7,0.0,0
181.52501824566224,181.52501824566224,181.52501824566224,181.52501824566224,47,47,47,47,7,0.0,0
110.55131740657473,110.55131740657473,110.55131740657473,110.55131740657473,33,33,33,33,7,0.0,0
590.1805065761395,590.1805065761395,590.1805065761395,590.1805065761395,97,97,97,97,7,0.0,0
387.40611116068743,387.40611116068743,387.40611116068743,387.40611116068743,40,40,40,40,8,0.0,0
248.4552842760879,248.4552842760879,248.4552842760879,248.4552842760879,60,60,60,60,8,0.0,0
603.2775243804299,603.2775243804299,603.2775243804299,603.2775243804299,93,93,93,93,8,0.0,0
469.43260636534706,469.43260636534706,469.43260636534706,469.43260636534706,118,118,118,118,8,0.0,0
505.95052250484076,505.95052250484076,505.95052250484076,505.95052250484076,163,163,163,163,8,0.0,0
442.43549783635865,442.43549783635865,442.43549783635865,442.43549783635865,127,127,127,127,8,0.0,0
531.9045973944708,531.9045973944708,531.9045973944708,531.9045973944708,101,101,101,101,8,0.0,0
243.1512944684301,243.1512944684301,243.1512944684301,243.1512944684301,67,67,67,67,8,0.0,0
96.27287644426073,96.27287644426073,96.27287644426073,96.27287644426073,28,28,28,28,8,0.0,0
393.2822126124099,393.2822126124099,393.2822126124099,393.2822126124099,59,59,59,59,8,0.0,0
205.29835524931798,205.29835524931798,205.29835524931798,205.29835524931798,63,63,63,63,8,0.0,0
213.19545890020655,213.19545890020655,213.19545890020655,213.19545890020655,55,55,55,55,8,0.0,0
528.3736171575102,528.3736171575102,528.3736171575102,528.3736171575102,102,102,102,102,8,0.0,0
432.9120205204607,432.9120205204607,432.9120205204607,432.9120205204607,81,81,81,81,8,0.0,0
535.7028425017804,535.7028425017804,535.7028425017804,535.7028425017804,71,71,71,71,8,0.0,0
167.96519831490676,167.96519831490676,167.96519831490676,167.96519831490676,51,51,51,51,8,0.0,0
